KLABINSEGALL,KSSA3
LOJAS AMERICANAS S.A.,LAME3
LOJAS AMERICANAS S.A.,LAME4
LATAM AIRLN,LATM11
REXAM BEVERAGE CAN SOUTH AMERICA,LATS3
LOCAMERICA,LCAM3
NAO  CONSTA,LCSA3
NAO  CONSTA,LCSA4
LECO,LECO3
LECO,LECO4
MITTO,LETO3
MITTO,LETO5
MAHLE METAL LEVE,LEVE3
MAHLE METAL LEVE,LEVE4
LA FONTE TELECOM S/A,LFFE3
LA FONTE TELECOM S/A,LFFE4
LIVRARIA DO GLOBO S/A,LGLO4
LIGHT,LIGH3
LIGHT SA,LIGT3
LINX,LINX3
LIGHTPAR,LIPR3
LIQ,LIQO3
LIX DA CUNHA,LIXC3
LIX DA CUNHA,LIXC4
LE LIS BLANC DEUX,LLIS3
LOG COM PROP,LOGG3
Log-In,LOGN3
LOPES BRASIL,LPSB3
RENNER,LREN3
RENNER,LREN4
LUPATECH,LUPA3
TREVISA INVESTIMENTOS SA,LUXM3
TREVISA INVESTIMENTOS SA,LUXM4
LOCAWEB,LWSA3
MAGNESITA REFRATARIOS,MAGG3
MAGNESITA S/A,MAGS3
CIA MARCOPOLO,MAPT3
CIA MARCOPOLO,MAPT4
Marisa,MARI3
M.DIASBRANCO,MDIA3
MOURA DUBEUX,MDNE3
IMC S/A,MEAL3
MEDIAL SAUDE,MEDI3
MENDES JUNIOR ENGENHARIA S/A,MEND5
MENDES JUNIOR ENGENHARIA S/A,MEND6
MERCANTIL BRASIL,MERC3
MERCANTIL BRASIL,MERC4
MANGELS,MGEL3
MANGELS,MGEL4
MAGAZ LUIZA,MGLU3
Laep DR3,MILK33
MILLS,MILS3
JEREISSATI PARTICIPACOES,MLFT3
JEREISSATI PARTICIPACOES,MLFT4
MELHORAMENTOS PAPEIS,MLPA12
MELHORAMENTOS PAPEIS,MLPA3
MELHORAMENTOS PAPEIS,MLPA4
MINASMAQUINAS S/A,MMAQ3
MINASMAQUINAS S/A,MMAQ4
MMX MINER,MMXM3
MUNDIAL S/A,MNDL3
MUNDIAL S/A,MNDL4
MINUPAR,MNPR3
MINUPAR,MNPR4
MANASA,MNSA3
MANASA,MNSA4
MONTEIRO ARANHA,MOAR3
MOVIDA,MOVI3 
MULTIPLUS,MPLU3
Marfrig,MRFG3
MARISOL,MRSL3
MARISOL,MRSL4
MRV,MRVE3
BUNGE BRASIL S.A.,MSAN3
BUNGE BRASIL S.A.,MSAN4
MELHORAMENTOS,MSPA3
MELHORAMENTOS,MSPA4
WHIRLPOOL S.A.,MTBR3
WHIRLPOOL S.A.,MTBR4
IGUACU,MTIG3
IGUACU,MTIG4
MITRE REALTY,MTRE3
METISA,MTSA4
Multiplan,MULT3
WETZEL S.A.,MWET3
WETZEL S.A.,MWET4
IOCHPE-MAXION,MYPK3
IOCHPE-MAXION,MYPK4
NADIR FIGUEIREDO,NAFG3
NADIR FIGUEIREDO,NAFG4
NATURA COSMETICOS SA,NATU3
NEOENERGIA,NEOE3
NET SERVICOS DE COMUNICACAO S.A.,NETC3
NET SERVICOS DE COMUNICACAO S.A.,NETC4
NORDON INDS METALURGICAS SA,NORD3
GRUPO NATURA,NTCO3
NUTRIPLANT,NUTR3
ODONTOPREV,ODPV3
OUROFINO S/A,OFSA3
OGX,OGXP3
OI,OIBR3
OI,OIBR4
OMEGA GER,OMGE3
PLASCAR PARTICIPACOES INDUSTRIAIS S.A,OSAO4
OSX BRASIL,OSXB3
CPFL,PALF11
CPFL,PALF3
CPFL,PALF5
WIZ S.A.,PARC3
IHPARDINI,PARD3
PANATLANTICA,PATI3
PANATLANTICA,PATI4
PAO DE ACUCAR,PCAR3
PAO DE ACUCAR,PCAR4
PAO DE ACUCAR,PCAR5
PDG REALT,PDGR3
CIA. DE PARTICIPACOES ALIANCA DA BAHIA,PEAB3
CIA. DE PARTICIPACOES ALIANCA DA BAHIA,PEAB4
PETROFLEX INDUSTRIA E COMERCIO S.A,PEFX3
PETROFLEX INDUSTRIA E COMERCIO S.A,PEFX5
PETROBRAS,PETR3
PETROBRAS,PETR4
PROFARMA,PFRM3
Pine,PINE3
Pine,PINE4
"AV. DR CHUCRI ZAIDAN, 920 - 16SS ANDAR",PITI4
PLASCAR PARTICIPACOES INDUSTRIAIS S.A,PLAS3
POLIALDEN,PLDN4
NET SERVICOS DE COMUNICACAO S.A.,PLIM4
POLITENO IND E COMERCIO S.A.,PLTO5
POLITENO IND E COMERCIO S.A.,PLTO6
PARANAPANEMA S.A.,PMAM3
PARANAPANEMA S.A.,PMAM4
PRO METALURG,PMET3
PRO METALURG,PMET5
PRO METALURG,PMET6
PRONOR,PNOR5
PRONOR,PNOR6
PANVEL FARMACIAS,PNVL3
PANVEL FARMACIAS,PNVL4
MARCOPOLO,POMO3
MARCOPOLO,POMO4
POLIPROPILENO S.A.,POPR4
POLIPROPILENO PARTICIPACOES S.A.,PORP4
POSITIVO INF,POSI3
PETROQUIMICA UNIAO S.A.,PQUN3
PETROQUIMICA UNIAO S.A.,PQUN4
Parana,PRBC3
Parana,PRBC4
BRF Foods,PRGA4
PETRORIO,PRIO3
PRUMO,PRML3
PRINER,PRNR3
PORTX,PRTX3
Providencia,PRVI3
PORTO SEGURO SA,PSSA3
PORTOBELLO S/A,PTBL3
PORTOBELLO S/A,PTBL4
IPIRANGA PETROQUIMICA SA,PTIP3
IPIRANGA PETROQUIMICA SA,PTIP4
PETTENATI,PTNT3
PETTENATI,PTNT4
PETROPAR SA,PTPA3
PETROPAR SA,PTPA4
PETROQUISA,PTQS4
ENAUTA PART,QGEP3
QUALICORP,QUAL3
RAIADROGASIL,RADL3
RAIA,RAIA3
ALL - AMERICA LATINA LOGISTICA S/A,RAIL3
CELULOSE IRANI,RANI3
CELULOSE IRANI,RANI4
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RAPT3
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RAPT4
RECRUSUL,RCSL4
TELEBRAS,RCTB31
TELEBRAS,RCTB33
TELEBRAS,RCTB41
TELEBRAS,RCTB42
Redecard,RDCD3
RODOBENSIMOB,RDNI3
REDENTOR,RDTR3
REDE EMPRESAS DE ENERGIA ELETRICA S.A.,REDE3
REDE EMPRESAS DE ENERGIA ELETRICA S.A.,REDE4
RHEEM EMPRS,REEM4
LOCALIZA RENT A CAR,RENT3
ELECTROLUX,REPA3
ELECTROLUX,REPA4
RGE - RIO GRANDE ENERGIA,RGEG3
M G POLIEST,RHDS3
M G POLIEST,RHDS4
REFINARIA DE PETROLEO IPIRANGA SA,RIPI3
REFINARIA DE PETROLEO IPIRANGA SA,RIPI4
RJCP EQUITY,RJCP3
COSAN LOG,RLOG3
POMIFRUTAS,RNAR3
RENOVA,RNEW11
RENOVA,RNEW3
RENOVA,RNEW4
RENNER PARTICIPACOES S/A,RNPT3
RENNER PARTICIPACOES S/A,RNPT4
ROMI,ROMI3
ROMI,ROMI4
ALFA HOLDINGS,RPAD3
ALFA HOLDINGS,RPAD5
ALFA HOLDINGS,RPAD6
REFINARIA DE PETROLEOS DE MANGUINHOS S.A,RPMG3
REFINARIA DE PETROLEOS DE MANGUINHOS S.A,RPMG4
RIPASA,RPSA4
ROSSI RESIDENCIAL,RSID3
RASIP AGRO PASTORIL,RSIP3
RASIP AGRO PASTORIL,RSIP4
METALURGICA RIOSULENSE S/A,RSUL4
RUMO LOG,RUMO3
SEARA ALIMENTOS,SALM3
SEARA ALIMENTOS,SALM4
SANTANDER,SANB11
SANTANDER,SANB3
SANTANDER,SANB4
SANEPAR,SAPR11
SANEPAR,SAPR3
SANEPAR,SAPR4
SUL AMERICA SEGUROS,SASG3
SABESP,SBSP3
SAO CARLOS EMPREEND.E PARTICIPACOES S.A.,SCAR3
SAO CARLOS EMPREEND.E PARTICIPACOES S.A.,SCAR4
SCHLOSSER TECIDOS,SCLO3
SCHLOSSER TECIDOS,SCLO4
SADIA,SDIA3
SADIA,SDIA4
SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEBB11
SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEBB3
SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEBB4
SOMOS EDUCA,SEDU3
SER EDUCA,SEER3
SEMP TOSHIBA,SEMP3
Sofisa,SFSA3
Sofisa,SFSA4
WLM,SGAS3
WLM,SGAS4
SERGEN,SGEN3
SERGEN,SGEN4
Springs,SGPS3
TIME FOR FUN,SHOW3
SCHULZ,SHUL4
SAO JOSE,SJOS3
